case_id,split,source_excel_row,cell_type,reference_label,observed_response_fraction,source_section,assay,stimulus,intervention,readout,driver_line_info,mapping_review_status,comparability_review_status,reviewer_1,reviewer_2,reviewer_notes
shiu_table3_row_077,held_out,77,phantom,positive,0.6,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS44877: 0.6; See also Shiu, Sterne et al., 2022",PENDING,PENDING,,,
shiu_table3_row_078,development,78,planter,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS36658: 0,PENDING,PENDING,,,
shiu_table3_row_079,held_out,79,pleco,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS41967: 0,PENDING,PENDING,,,
shiu_table3_row_080,development,80,pringle,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS43334, SS43335, SS43348: 0",PENDING,PENDING,,,
shiu_table3_row_081,held_out,81,puddle,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS27600, SS46204, SS46205: 0",PENDING,PENDING,,,
shiu_table3_row_082,held_out,82,rocket,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS29686, SS29687, SS29688: 0",PENDING,PENDING,,,
shiu_table3_row_083,development,83,rose,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS46955: 0,PENDING,PENDING,,,
shiu_table3_row_084,development,84,ruby,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS43355, SS43359: 0",PENDING,PENDING,,,
shiu_table3_row_085,development,85,Salivary_MN13,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS35823: 0,PENDING,PENDING,,,
shiu_table3_row_086,development,86,shark,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS45729: 0,PENDING,PENDING,,,
shiu_table3_row_087,development,87,snake,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS31705, SS31708: 0",PENDING,PENDING,,,
shiu_table3_row_088,development,88,spirit,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS49430: 0,PENDING,PENDING,,,
shiu_table3_row_089,development,89,spray,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS39867: 0,PENDING,PENDING,,,
shiu_table3_row_090,held_out,90,sullivan,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS42638, SS42639: 0",PENDING,PENDING,,,
shiu_table3_row_091,development,91,sundrop,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS51985, SS51987, SS51988, SS51989: 0",PENDING,PENDING,,,
shiu_table3_row_092,development,92,tentacular,positive,0.5,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS51930: .5,PENDING,PENDING,,,
shiu_table3_row_093,development,93,tinctoria,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS39007, SS39020: 0",PENDING,PENDING,,,
shiu_table3_row_094,held_out,94,tophat,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS39932, SS39993:0",PENDING,PENDING,,,
shiu_table3_row_095,development,95,TPN4,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS44856: 0; SS44866: 0,PENDING,PENDING,,,
shiu_table3_row_096,development,96,trident,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS46209, SS46211, SS46214: 0",PENDING,PENDING,,,
shiu_table3_row_097,development,97,trogon,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS45730: 0,PENDING,PENDING,,,
shiu_table3_row_098,development,98,trumpet,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS42603: 0,PENDING,PENDING,,,
shiu_table3_row_099,development,99,tulip,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS45941: 0,PENDING,PENDING,,,
shiu_table3_row_100,development,100,tundra,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS41386: 0,PENDING,PENDING,,,
shiu_table3_row_101,development,101,turner,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS45676, SS49422: 0",PENDING,PENDING,,,
shiu_table3_row_102,held_out,102,twirl,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS51958: 0,PENDING,PENDING,,,
shiu_table3_row_103,development,103,usnea,positive,1.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS37122: 1; SS31022:1; See also Shiu, Sterne et al., 2022",PENDING,PENDING,,,
shiu_table3_row_104,development,104,wafflecone,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS50698: 0,PENDING,PENDING,,,
shiu_table3_row_105,development,105,weaver,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,SS39883: 0,PENDING,PENDING,,,
shiu_table3_row_106,held_out,106,web,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS41434, SS41448: 0",PENDING,PENDING,,,
shiu_table3_row_107,development,107,whisker,negative,0.0,mn9_optogenetic_activation,proboscis_extension_observed_rate,cell_type_optogenetic_activation,activation,published_observed_activation_rate,"SS39947, SS42349: 0",PENDING,PENDING,,,
